epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.71751666,1.1584837908426922,0.02,0.8578,0.6377992681503296
1,0.8645833,0.5494277385870615,0.02,0.8868,0.4523807466983795
2,0.88425,0.4384131015618642,0.02,0.8972,0.38863394503593446
3,0.8943667,0.38911489079793293,0.02,0.9053,0.35215435621738433
4,0.8999,0.35967651557922364,0.02,0.9105,0.32980572781562806
5,0.9052167,0.33908422088623047,0.02,0.9155,0.31379728837013243
6,0.90853333,0.32605604729652404,0.01,0.9164,0.3068103796958923
7,0.9102833,0.318987057129542,0.01,0.9171,0.30115196075439454
8,0.91218334,0.312557511138916,0.01,0.9191,0.295769465470314
9,0.91355,0.30669696351687115,0.01,0.9201,0.29027668628692627
10,0.91478336,0.3011947052796682,0.01,0.9207,0.2863401012897491
11,0.91616666,0.29608630812168124,0.01,0.9222,0.28155166667699816
12,0.9177167,0.29133979512850444,0.01,0.9225,0.2779581245303154
13,0.91898334,0.2868217804749807,0.01,0.9234,0.27388002474308015
14,0.92015,0.282589551949501,0.01,0.9247,0.2703384505271912
15,0.92146665,0.2785184916973114,0.01,0.9259,0.26660033766031266
16,0.92253333,0.2746987955093384,0.01,0.9266,0.2632698168158531
17,0.92373335,0.2711155883948008,0.01,0.9267,0.2600075048685074
18,0.92483336,0.2675082296212514,0.01,0.9277,0.25784065613746643
19,0.92586666,0.26417513427734374,0.01,0.9297,0.25395056091547014
